algorithm name,vector size,num vectors,num iterations,float time,double time
single buffer    ,1, 100000,100,0.062,0.067,
buffer of buffers,1, 100000,100,0.079,0.085,
single buffer    ,2, 100000,100,0.075,0.079,
buffer of buffers,2, 100000,100,0.089,0.133,
single buffer    ,3, 100000,100,0.093,0.099,
buffer of buffers,3, 100000,100,0.143,0.154,
single buffer    ,4, 100000,100,0.12,0.084,
buffer of buffers,4, 100000,100,0.159,0.188,
single buffer    ,5, 100000,100,0.141,0.122,
buffer of buffers,5, 100000,100,0.192,0.225,
single buffer    ,6, 100000,100,0.154,0.144,
buffer of buffers,6, 100000,100,0.204,0.273,
single buffer    ,7, 100000,100,0.178,0.168,
buffer of buffers,7, 100000,100,0.263,0.281,
single buffer    ,8, 100000,100,0.103,0.162,
buffer of buffers,8, 100000,100,0.19,0.297,
single buffer    ,9, 100000,100,0.155,0.189,
buffer of buffers,9, 100000,100,0.242,0.327,
single buffer    ,10, 100000,100,0.16,0.214,
buffer of buffers,10, 100000,100,0.244,0.372,
single buffer    ,11, 100000,100,0.183,0.221,
buffer of buffers,11, 100000,100,0.295,0.366,
single buffer    ,12, 100000,100,0.193,0.214,
buffer of buffers,12, 100000,100,0.288,0.378,
single buffer    ,13, 100000,100,0.213,0.251,
buffer of buffers,13, 100000,100,0.326,0.435,
single buffer    ,14, 100000,100,0.254,0.281,
buffer of buffers,14, 100000,100,0.372,0.476,
single buffer    ,15, 100000,100,0.263,0.297,
buffer of buffers,15, 100000,100,0.428,0.5,
single buffer    ,16, 100000,100,0.166,0.285,
buffer of buffers,16, 100000,100,0.31,0.506,
single buffer    ,17, 100000,100,0.208,0.31,
buffer of buffers,17, 100000,100,0.345,0.548,
single buffer    ,18, 100000,100,0.233,0.347,
buffer of buffers,18, 100000,100,0.384,0.622,
single buffer    ,19, 100000,100,0.284,0.389,
buffer of buffers,19, 100000,100,0.477,0.68,
single buffer    ,20, 100000,100,0.268,0.37,
buffer of buffers,20, 100000,100,0.459,0.625,
single buffer    ,21, 100000,100,0.292,0.388,
buffer of buffers,21, 100000,100,0.527,0.68,
single buffer    ,22, 100000,100,0.339,0.427,
buffer of buffers,22, 100000,100,0.521,0.752,
single buffer    ,23, 100000,100,0.383,0.457,
buffer of buffers,23, 100000,100,0.635,0.764,
single buffer    ,24, 100000,100,0.258,0.443,
buffer of buffers,24, 100000,100,0.473,0.736,
single buffer    ,25, 100000,100,0.297,0.479,
buffer of buffers,25, 100000,100,0.506,0.814,
single buffer    ,26, 100000,100,0.321,0.518,
buffer of buffers,26, 100000,100,0.579,0.856,
single buffer    ,27, 100000,100,0.342,0.57,
buffer of buffers,27, 100000,100,0.582,0.893,
single buffer    ,28, 100000,100,0.378,0.614,
buffer of buffers,28, 100000,100,0.598,0.874,
single buffer    ,29, 100000,100,0.444,0.625,
buffer of buffers,29, 100000,100,0.699,0.959,
single buffer    ,30, 100000,100,0.475,0.62,
buffer of buffers,30, 100000,100,0.699,0.932,
single buffer    ,31, 100000,100,0.529,0.624,
buffer of buffers,31, 100000,100,0.786,0.957,
single buffer    ,32, 100000,100,0.367,0.615,
buffer of buffers,32, 100000,100,0.613,0.965,
single buffer    ,33, 100000,100,0.413,0.682,
buffer of buffers,33, 100000,100,0.673,1.006,
single buffer    ,34, 100000,100,0.434,0.694,
buffer of buffers,34, 100000,100,0.695,1.041,
single buffer    ,35, 100000,100,0.47,0.703,
buffer of buffers,35, 100000,100,0.778,1.101,
single buffer    ,36, 100000,100,0.531,0.74,
buffer of buffers,36, 100000,100,0.8,1.095,
single buffer    ,37, 100000,100,0.57,0.759,
buffer of buffers,37, 100000,100,0.871,1.14,
single buffer    ,38, 100000,100,0.603,0.784,
buffer of buffers,38, 100000,100,0.898,1.173,
single buffer    ,39, 100000,100,0.616,0.81,
buffer of buffers,39, 100000,100,0.914,1.201,
single buffer    ,40, 100000,100,0.494,0.793,
buffer of buffers,40, 100000,100,0.796,1.192,
single buffer    ,41, 100000,100,0.553,0.828,
buffer of buffers,41, 100000,100,0.842,1.181,
single buffer    ,42, 100000,100,0.58,0.838,
buffer of buffers,42, 100000,100,0.86,1.207,
single buffer    ,43, 100000,100,0.627,0.919,
buffer of buffers,43, 100000,100,1.133,1.375,
single buffer    ,44, 100000,100,0.687,0.855,
buffer of buffers,44, 100000,100,1.007,1.219,
single buffer    ,45, 100000,100,0.681,0.911,
buffer of buffers,45, 100000,100,1.029,1.334,
single buffer    ,46, 100000,100,0.719,0.934,
buffer of buffers,46, 100000,100,1.033,1.349,
single buffer    ,47, 100000,100,0.798,1.023,
buffer of buffers,47, 100000,100,1.139,1.404,
single buffer    ,48, 100000,100,0.639,1.006,
buffer of buffers,48, 100000,100,0.981,1.372,
single buffer    ,49, 100000,100,0.72,0.978,
buffer of buffers,49, 100000,100,1.032,1.345,
single buffer    ,50, 100000,100,0.754,1.064,
buffer of buffers,50, 100000,100,1.059,1.403,
single buffer    ,51, 100000,100,0.754,1.043,
buffer of buffers,51, 100000,100,1.071,1.469,
single buffer    ,52, 100000,100,0.77,1.094,
buffer of buffers,52, 100000,100,1.096,1.442,
single buffer    ,53, 100000,100,0.808,1.065,
